t;Y;C;G;J;Ex;Im;Yr;Cr;Gr;Jr;Exr;Imr;Yp;Cp;Gp;Jp;Exp;Imp
2000q01;1768.203511;833.9629058;254.2388321;306.4528945;779.6702778;406.1213992;8846.625024;3212.496018;2346.285989;1227.930964;2400.282182;655.974366;0.199873229;0.25959967;0.108357989;0.217159215;0.324824424;0.619111691
2000q02;1884.287959;884.8353762;270.7745255;341.5149847;794.6969203;407.5338474;8963.286789;3203.352717;2336.947448;1240.715714;2348.66852;664.9932154;0.21022288;0.276221651;0.115866758;0.240558492;0.338360613;0.612839106
2000q03;2029.620886;960.279421;303.752176;392.2254332;821.7709387;448.4070829;9085.534074;3295.818235;2356.931231;1256.184072;2407.12401;737.9727397;0.223390377;0.29136298;0.12887613;0.266703895;0.341391194;0.607620118
2000q04;2155.223645;1017.857983;323.1440834;473.9431351;807.7857829;467.5073401;9215.643505;3316.841791;2326.383646;1288.445264;2418.466278;770.3137212;0.233865779;0.306875651;0.138904038;0.28842771;0.334007462;0.606905118
2001q01;2200.587963;1078.800659;344.5972258;420.8221602;818.3853671;462.0174497;9260.476883;3429.381499;2313.440783;1313.521055;2502.628794;756.3021727;0.237632251;0.314575867;0.148954418;0.29869541;0.32701029;0.61089002
2001q02;2337.867591;1188.325752;373.1579499;481.3420038;830.1267456;535.0848609;9415.259392;3509.412877;2299.559706;1374.33092;2416.015767;863.7486298;0.248306233;0.338610985;0.162273651;0.316080439;0.343593265;0.619491415
2001q03;2477.91432;1258.351418;392.2022915;548.6320797;836.155132;557.426601;9632.607363;3608.884084;2325.876554;1388.953496;2519.469638;851.5434945;0.257242326;0.348681584;0.168625584;0.327580033;0.331877439;0.654607316
2001q04;2583.48431;1315.904566;424.8991534;618.077711;800.7496619;576.1467823;9633.383397;3625.912612;2307.775356;1432.353088;2516.827161;891.9432233;0.268180369;0.36291679;0.184116341;0.335882715;0.318158384;0.64594558
2002q01;2618.833501;1384.653717;455.2327604;550.3901451;784.0931929;555.5363151;9612.467123;3713.007601;2341.722678;1352.158585;2631.208277;876.1468944;0.272441348;0.37291971;0.194400799;0.335365471;0.297997388;0.63406755
2002q02;2808.407813;1479.573691;484.4698832;552.740645;919.8801919;628.2565983;9830.343229;3804.394863;2341.472511;1399.633487;2744.292699;939.2721334;0.285687666;0.388911705;0.206908209;0.35326378;0.335197551;0.668876012
2002q03;3000.713606;1556.291062;506.7231573;602.572027;1027.742046;692.6146865;10059.5368;3876.111723;2379.901057;1428.420176;2774.932902;995.8511403;0.298295405;0.401508309;0.212917741;0.367582613;0.370366449;0.695500219
2002q04;3192.04609;1642.724682;548.832083;668.5662839;1056.940692;725.0176507;10227.53216;3919.327098;2377.53667;1480.217565;2784.611008;1049.343118;0.312103256;0.419134367;0.230840639;0.372411337;0.379564933;0.690925245
2003q01;3358.763034;1753.460822;565.4475246;630.0204936;1172.479864;762.6456704;10436.90454;4030.532737;2443.39591;1555.195731;3017.866067;1061.474138;0.321816016;0.435044431;0.231418708;0.381355185;0.388512889;0.718477863
2003q02;3409.501714;1770.87707;600.3969724;699.3658276;1088.422688;749.560845;10451.20499;4005.684862;2432.724964;1553.06783;3087.345926;1128.718622;0.326230489;0.442090961;0.246800186;0.39010444;0.35254316;0.664081225
2003q03;3670.853436;1851.71692;633.6830433;810.0923354;1164.212465;788.8513281;10748.16331;4087.546283;2436.741744;1670.104707;3143.815662;1183.537018;0.341533091;0.4530143;0.260053428;0.396998166;0.370318298;0.666520199
